gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Length
A2M,,,,,,,,,,,,,23.674,good,0.885,24.377,good,0.905,14.599,weak,0.978,,,,,,,,,,1474
AAAS,75.29899999999999,good,0.982,88.376,good,0.99,379.45300000000003,good,0.961,208.18200000000002,good,0.992,,,,145.343,weak,0.852,78.09,weak,0.995,57.957,weak,0.987,78.98899999999999,weak,0.982,86.87299999999999,good,0.975,546
AACS,,,,30.524,weak,0.995,,,,98.574,weak,0.973,,,,,,,69.61399999999999,weak,0.95,52.861999999999995,weak,0.9490000000000001,28.209,good,1.0,32.865,good,1.0,672
AAK1,,,,,,,,,,152.678,good,0.9840000000000001,,,,,,,76.27600000000001,weak,0.982,59.538999999999994,good,0.988,34.468,good,0.9990000000000001,43.131,good,0.997,961
AAMDC,,,,,,,,,,,,,,,,,,,68.13600000000001,weak,0.938,51.38,weak,0.985,,,,15.508,weak,0.93,122
AAMP,,,,21.264,weak,0.996,,,,,,,,,,,,,,,,17.596,weak,0.976,20.465,good,0.9670000000000001,23.435,good,0.961,434
AAR2,,,,35.459,weak,0.985,,,,,,,,,,,,,,,,,,,28.485,weak,0.86,20.974,good,0.9620000000000001,384
AARS,37.512,good,0.991,42.363,good,0.996,203.58700000000002,good,0.998,130.363,good,1.0,404.82300000000004,good,0.9740000000000001,,,,45.898,good,0.98,34.759,good,0.9840000000000001,47.085,good,0.9990000000000001,49.988,good,0.996,968
AARS2,83.59,weak,0.9329999999999999,95.73700000000001,good,0.993,284.577,weak,0.992,181.929,good,0.9670000000000001,117.36200000000001,good,0.992,123.977,good,0.998,73.258,weak,0.977,62.379,weak,0.9990000000000001,38.798,weak,0.998,41.148,good,0.993,985
AASDHPPT,43.135,good,0.997,42.503,weak,1.0,78.137,weak,0.9990000000000001,70.814,good,0.998,352.721,weak,0.919,,,,46.275,weak,0.993,35.355,good,0.993,,,,22.625999999999998,weak,0.919,309
